timestamp,global_x,global_y,global_theta,delta_x,delta_y,delta_theta,enc_left,enc_right,acc_x,acc_y,acc_z,omega_enc,omega_imu,slip_spike,k_scaled
1.777855739043320894e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.652000000000000000e+03,5.160000000000000000e+02,1.737200000000000000e+04,0.000000000000000000e+00,1.120000000000000107e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739304780960e+09,1.510735972893945123e-03,1.628123216974808329e-03,-3.170413360049870091e-03,1.510735972893945123e-03,1.628123216974808329e-03,-3.170413360049870091e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.452000000000000000e+03,8.920000000000000000e+02,1.708800000000000000e+04,0.000000000000000000e+00,2.569999999999999840e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739331208229e+09,1.769109165604676719e-03,2.635761919691019875e-03,3.489722140012281506e-03,2.551772683366691687e-04,1.008452787019492938e-03,6.660135500062151596e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.672000000000000000e+03,8.240000000000000000e+02,1.730000000000000000e+04,0.000000000000000000e+00,2.250000000000000000e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739465315342e+09,-1.014128944440287686e-04,4.640761956516165077e-03,6.814690516807588028e-03,-1.863513791483528909e-03,2.011515417228604274e-03,3.324968376795306955e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.768000000000000000e+03,7.480000000000000000e+02,1.733600000000000000e+04,0.000000000000000000e+00,3.370000000000000107e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739606842995e+09,-4.659744766233694826e-04,5.454567003772768131e-03,5.403303666516111325e-03,-3.590073304774731868e-04,8.162705059016064305e-04,-1.411386850291476919e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.968000000000000000e+03,8.400000000000000000e+02,1.741200000000000000e+04,0.000000000000000000e+00,1.810000000000000053e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739747797728e+09,2.567463538152132095e-03,5.240052728928321600e-03,8.511809767705741381e-03,3.032234653096758936e-03,-2.309016503976284856e-04,3.108506101189630489e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.532000000000000000e+03,7.960000000000000000e+02,1.729600000000000000e+04,0.000000000000000000e+00,7.800000000000000266e-01,0.000000000000000000e+00,4.920000000000000000e+02
1.777855739889250278e+09,1.470188181237887855e-03,5.925784279773879323e-03,1.353156545673299405e-02,-1.091398861825298994e-03,6.950463963814045324e-04,5.019755689027254400e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.552000000000000000e+03,8.440000000000000000e+02,1.729600000000000000e+04,0.000000000000000000e+00,6.899999999999999467e-01,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740029902697e+09,1.166246786817861638e-03,6.003939696667629639e-03,1.335004667472310287e-02,-3.028560356481136404e-04,8.226093911045673224e-05,-1.815187820098915813e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.636000000000000000e+03,8.160000000000000000e+02,1.716400000000000000e+04,0.000000000000000000e+00,1.010000000000000009e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740170555353e+09,2.971397301902673838e-04,6.696774977688664358e-03,1.154860878771698900e-02,-8.597805014214088271e-04,7.043758172189940048e-04,-1.801437887006116260e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.676000000000000000e+03,5.880000000000000000e+02,1.730800000000000000e+04,0.000000000000000000e+00,9.899999999999999911e-01,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740311109304e+09,5.752851230207334981e-04,6.814237392990176757e-03,8.460830761284244758e-03,2.794833421886911947e-04,1.142424614594684509e-04,-3.087778026432744238e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.492000000000000000e+03,8.440000000000000000e+02,1.698800000000000000e+04,0.000000000000000000e+00,-5.000000000000000278e-02,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740452183723e+09,-3.393826964302164989e-03,5.806734129334306313e-03,8.400894869509904078e-03,-3.977494235324289390e-03,-9.738856174992874520e-04,-5.993589177433874870e-05,0.000000000000000000e+00,0.000000000000000000e+00,-2.708000000000000000e+03,7.600000000000000000e+02,1.736000000000000000e+04,0.000000000000000000e+00,-3.599999999999999867e-01,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740592439890e+09,-4.298479749977800364e-03,1.053741495728585317e-02,1.585031175190323993e-02,-8.648793780790183265e-04,4.738113698504142074e-03,7.449416882393336721e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.472000000000000000e+03,6.720000000000000000e+02,1.726000000000000000e+04,0.000000000000000000e+00,5.500000000000000444e-01,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740733000278e+09,-7.260335621144463694e-03,1.218993144502054579e-02,1.845344825199313546e-02,-2.935292017133539315e-03,1.699253282460130117e-03,2.603136500089895961e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.748000000000000000e+03,7.160000000000000000e+02,1.732400000000000000e+04,0.000000000000000000e+00,1.429999999999999938e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855740874083996e+09,-6.721687360638766741e-03,1.261978131114081803e-02,1.913062452724449691e-02,5.464883123047213935e-04,4.198373261916634141e-04,6.771762752513616705e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.656000000000000000e+03,5.040000000000000000e+02,1.700800000000000000e+04,0.000000000000000000e+00,1.909999999999999920e+00,0.000000000000000000e+00,4.920000000000000000e+02
1.777855741014883518e+09,-2.889010406533077183e-03,1.293142373410750834e-02,2.773710577728429050e-02,3.837937182945829525e-03,2.382683656870698483e-04,8.606481250039797054e-03,7.000000000000000000e+00,3.900000000000000000e+01,4.612000000000000000e+03,1.948000000000000000e+03,1.263600000000000000e+04,3.200000000000000000e+02,5.313000000000000256e+01,4.156800000000000068e+02,4.920000000000000000e+02
1.777855741155386925e+09,-6.307201770518532785e-03,1.801991844041746921e-02,3.716176506029962578e-02,-3.275754541594417396e-03,5.181336001476132512e-03,9.424659283015337022e-03,2.100000000000000000e+01,1.020000000000000000e+02,3.336000000000000000e+03,-2.360000000000000000e+02,1.670400000000000000e+04,2.800000000000000000e+02,8.218999999999999773e+01,3.519800000000000182e+02,4.920000000000000000e+02
1.777855741293451548e+09,-2.678146742177086106e-02,1.949170658721175245e-02,5.317002637553825545e-02,-2.040544817322889962e-02,2.231456734234977656e-03,1.600826131523863660e-02,3.500000000000000000e+01,1.720000000000000000e+02,1.480000000000000000e+02,-3.532000000000000000e+03,1.367600000000000000e+04,4.000000000000000000e+02,4.442000000000000171e+01,4.433700000000000045e+02,4.920000000000000000e+02
1.777855741434630871e+09,-4.440502709116478375e-02,1.753801482053709421e-02,8.791387942596748384e-02,-1.770248308545466567e-02,-1.014327141040179949e-03,3.474385305042923533e-02,4.800000000000000000e+01,2.270000000000000000e+02,3.124000000000000000e+03,5.320000000000000000e+02,1.082000000000000000e+04,3.200000000000000000e+02,2.072299999999999898e+02,1.756599999999999966e+02,4.920000000000000000e+02
1.777855741578646183e+09,-6.681525301781102155e-02,1.327129509496518742e-02,1.865632713718476665e-01,-2.269829993422809930e-02,-2.282608901176473061e-03,9.864939194588022431e-02,6.400000000000000000e+01,2.960000000000000000e+02,-2.200000000000000000e+02,3.320000000000000000e+02,1.707600000000000000e+04,3.600000000000000000e+02,3.109200000000000159e+02,6.798000000000000398e+01,4.920000000000000000e+02
1.777855741720569611e+09,-1.134158645349963163e-01,-4.029334864081732248e-03,3.531077354086455955e-01,-4.900094509218488187e-02,-8.356803864406682839e-03,1.665444640367979845e-01,7.900000000000000000e+01,3.670000000000000000e+02,-6.768000000000000000e+03,3.464000000000000000e+03,3.276700000000000000e+04,2.307700000000000102e+02,2.106999999999999886e+02,4.329999999999999716e+01,4.920000000000000000e+02
1.777855741860969543e+09,-1.625620382247473794e-01,-1.796373565480640505e-02,4.303753936476735209e-01,-5.093271107661775238e-02,3.920823398917671829e-03,7.726765823902791153e-02,9.200000000000000000e+01,4.200000000000000000e+02,-1.776000000000000000e+03,9.600000000000000000e+01,1.985600000000000000e+04,3.461499999999999773e+02,1.985600000000000023e+02,2.125800000000000125e+02,4.920000000000000000e+02
1.777855742002118826e+09,-1.871040808611418027e-01,-3.294811175513479018e-02,5.719093010037987757e-01,-2.855569542851485107e-02,-3.378704260006938024e-03,1.415339073561252270e-01,1.070000000000000000e+02,4.940000000000000000e+02,-7.588000000000000000e+03,-4.280000000000000000e+02,2.237200000000000000e+04,3.846200000000000045e+02,2.674800000000000182e+02,1.518799999999999955e+02,4.920000000000000000e+02
1.777855742145061970e+09,-2.290860112812869720e-01,-6.205958143405239380e-02,6.957849642174246396e-01,-5.105755731213226095e-02,-1.756698604418960741e-03,1.238756632136258085e-01,1.220000000000000000e+02,5.720000000000000000e+02,-1.112000000000000000e+03,-9.600000000000000000e+01,1.375200000000000000e+04,4.230799999999999841e+02,2.595799999999999841e+02,1.927599999999999909e+02,4.920000000000000000e+02
1.777855742286388636e+09,-2.760037276567284259e-01,-1.017950761921323777e-01,8.357607515471709991e-01,-6.148171081256145754e-02,-4.253106115717174545e-04,1.399757873297464705e-01,1.360000000000000000e+02,6.350000000000000000e+02,3.072000000000000000e+03,2.656000000000000000e+03,1.002800000000000000e+04,3.750000000000000000e+02,2.395399999999999920e+02,1.801299999999999955e+02,4.920000000000000000e+02
1.777855742427619696e+09,-3.207302398936915377e-01,-1.420916452196680224e-01,9.490315215757672007e-01,-5.988647778772296371e-02,6.155010191275850882e-03,1.132707700285962432e-01,1.520000000000000000e+02,7.180000000000000000e+02,-7.620000000000000000e+03,-1.184000000000000000e+03,2.341200000000000000e+04,4.400000000000000000e+02,2.090200000000000102e+02,2.618799999999999955e+02,4.920000000000000000e+02
1.777855742568299055e+09,-3.462882714955386465e-01,-1.731837127624399897e-01,1.052140773462776124e+00,-4.016004411327964846e-02,2.664676390247215556e-03,1.031092518870089098e-01,1.690000000000000000e+02,7.900000000000000000e+02,-1.363200000000000000e+04,1.085200000000000000e+04,3.079200000000000000e+04,2.692300000000000182e+02,2.613799999999999955e+02,1.452999999999999936e+01,4.920000000000000000e+02
1.777855742709001064e+09,-3.766774175627042864e-01,-2.415002302407875945e-01,1.209656545055448840e+00,-7.439626128760851165e-02,-7.472821788774117353e-03,1.575157715926726321e-01,1.820000000000000000e+02,8.540000000000000000e+02,8.480000000000000000e+02,-1.800000000000000000e+03,9.060000000000000000e+03,4.400000000000000000e+02,3.246299999999999955e+02,1.308000000000000114e+02,4.920000000000000000e+02
1.777855742849717855e+09,-3.829680681817673182e-01,-2.718854562930403951e-01,1.377214477280399585e+00,-3.064796096732623140e-02,-4.851467407173560425e-03,1.675579322249509395e-01,1.990000000000000000e+02,9.300000000000000000e+02,1.916000000000000000e+03,-1.156000000000000000e+03,1.249200000000000000e+04,4.000000000000000000e+02,3.284599999999999795e+02,8.920000000000000284e+01,4.920000000000000000e+02
1.777855742990382671e+09,-3.774086487437793291e-01,-3.284579354266056739e-01,1.501494747011549613e+00,-5.444629486837977012e-02,-1.633871215581554973e-02,1.242802697311498755e-01,2.120000000000000000e+02,9.930000000000000000e+02,-3.624000000000000000e+03,-1.588000000000000000e+03,2.299600000000000000e+04,4.400000000000000000e+02,3.290699999999999932e+02,1.257699999999999960e+02,4.920000000000000000e+02
1.777855743133928776e+09,-3.651616538326395989e-01,-4.151446362950849678e-01,1.679902255158103319e+00,-8.563056178483870184e-02,-1.822031504194174256e-02,1.784075081465537893e-01,2.290000000000000000e+02,1.072000000000000000e+03,-7.252000000000000000e+03,-1.188000000000000000e+03,2.095200000000000000e+04,4.166700000000000159e+02,3.490299999999999727e+02,8.096999999999999886e+01,4.920000000000000000e+02
1.777855743275640488e+09,-3.530682445888351784e-01,-4.839146592897491939e-01,1.834720011316313570e+00,-6.967795250964142761e-02,-4.533160474649374980e-03,1.548177561582101680e-01,2.460000000000000000e+02,1.150000000000000000e+03,-4.464000000000000000e+03,-3.676000000000000000e+03,1.374800000000000000e+04,3.846200000000000045e+02,2.897900000000000205e+02,1.229500000000000028e+02,4.920000000000000000e+02
1.777855743417001009e+09,-3.592025891411275151e-01,-5.432288538484969509e-01,1.951987626455302438e+00,-5.566010294827537785e-02,2.139525178694077698e-02,1.172676151389887428e-01,2.600000000000000000e+02,1.216000000000000000e+03,-3.928000000000000000e+03,7.200000000000000000e+01,1.795200000000000000e+04,4.000000000000000000e+02,3.659599999999999795e+02,4.243999999999999773e+01,4.920000000000000000e+02
1.777855743557502508e+09,-3.102013037479794400e-01,-5.965193188763643350e-01,2.122072018324176579e+00,-6.769516518658252879e-02,-2.565860953809447412e-02,1.700843918688738354e-01,2.770000000000000000e+02,1.292000000000000000e+03,-2.668000000000000000e+03,4.440000000000000000e+02,1.914400000000000000e+04,4.400000000000000000e+02,3.605799999999999841e+02,9.004999999999999716e+01,4.920000000000000000e+02
1.777855743698321819e+09,-2.558278639271092669e-01,-6.467700775254556778e-01,2.288229749085600950e+00,-7.128587629687919980e-02,-1.999833851471257556e-02,1.661577307614245658e-01,2.930000000000000000e+02,1.369000000000000000e+03,-4.124000000000000000e+03,8.200000000000000000e+02,1.738400000000000000e+04,4.400000000000000000e+02,3.879800000000000182e+02,5.897999999999999687e+01,4.920000000000000000e+02
1.777855743839047909e+09,-1.987023234848692421e-01,-6.852519586001467600e-01,2.473896092924981360e+00,-6.655328277057857844e-02,-1.774381848205352011e-02,1.856663438393804377e-01,3.070000000000000000e+02,1.434000000000000000e+03,-3.020000000000000000e+03,2.428000000000000000e+03,1.600400000000000000e+04,4.400000000000000000e+02,3.778100000000000023e+02,7.051000000000000512e+01,4.920000000000000000e+02
