timestamp,global_x,global_y,global_theta,delta_x,delta_y,delta_theta,enc_left,enc_right,acc_x,acc_y,acc_z
1.777774996579246044e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,-2.000000000000000000e+01,-3.300000000000000000e+01
1.777774997022917032e+09,1.294184041009262699e-03,4.147066273448304994e-05,-5.801190604578235037e-03,1.294184041009262699e-03,4.147066273448304994e-05,-5.801190604578235037e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.700000000000000000e+01,8.800000000000000000e+01,-2.500000000000000000e+01
1.777774997163090706e+09,1.964850366107431887e-03,1.101851835243230094e-03,-1.092342410856807049e-02,6.645036010985984039e-04,1.064253970985640447e-03,-5.122233503989835450e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,-5.700000000000000000e+01
1.777774997310935497e+09,2.602555757185885492e-03,-3.596829809753704366e-06,-1.242937924024714244e-02,6.497423900328294123e-04,-1.098416926067863732e-03,-1.505955131679071954e-03,0.000000000000000000e+00,0.000000000000000000e+00,-5.300000000000000000e+01,-6.000000000000000000e+01,4.700000000000000000e+01
1.777774997467667818e+09,-2.167473516149863791e-03,-1.050741046414665298e-03,-4.191422358269376175e-03,-4.756645800968700537e-03,-1.106350307531903457e-03,8.237956881977766266e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,-5.200000000000000000e+01,1.500000000000000000e+01
1.777774997601095200e+09,-7.270564168377018251e-03,-1.771305289567696138e-03,-1.239396546599592225e-02,-5.100025646453719766e-03,-7.419470593466777081e-04,-8.202543107726546073e-03,0.000000000000000000e+00,0.000000000000000000e+00,-6.100000000000000000e+01,-6.800000000000000000e+01,-7.300000000000000000e+01
1.777774997749191523e+09,-9.456663315584389051e-03,-2.882416991777658755e-03,-7.027841296782766714e-03,-2.172160518091053802e-03,-1.138120107833577631e-03,5.366124169213156402e-03,2.290000000000000036e+00,4.000000000000000000e+00,4.595000000000000000e+03,-1.744000000000000000e+03,-4.770000000000000000e+02
1.777774997896065712e+09,-2.004013149053219048e-02,3.042141158586304621e-03,-1.057668386888105556e-02,-1.062484332603968670e-02,5.850033519928476283e-03,-3.548842572098288416e-03,2.742999999999999972e+01,3.700000000000000000e+01,4.035000000000000000e+03,-4.700000000000000000e+03,-3.605000000000000000e+03
1.777774998044122934e+09,-6.998806318202559218e-02,-1.972507303734817238e-02,7.590821069732639481e-02,-4.970434083628341021e-02,-2.329421440040891841e-02,8.648489456620746252e-02,7.085999999999999943e+01,1.050000000000000000e+02,-7.610000000000000000e+02,-8.200000000000000000e+02,2.383000000000000000e+03
1.777774998192803383e+09,-1.326334294927019597e-01,-2.608365732582751742e-02,1.911309494506683859e-01,-6.294717525028432903e-02,-1.589541557337386182e-03,1.152227387533419772e-01,1.120000000000000000e+02,1.720000000000000000e+02,2.087000000000000000e+03,-1.320000000000000000e+02,-1.277000000000000000e+03
1.777774998338305712e+09,-2.005725860992214060e-01,-4.647356481092587699e-02,3.169506280080534033e-01,-7.057544364096654532e-02,-7.112248767920333926e-03,1.258196785573850174e-01,1.554300000000000068e+02,2.400000000000000000e+02,8.950000000000000000e+02,-1.376000000000000000e+03,-6.289000000000000000e+03
1.777774998484000444e+09,-2.620062947288032684e-01,-7.732858461360514468e-02,4.361362307080027256e-01,-6.799031035865149564e-02,-1.017106190829267058e-02,1.191856026999493501e-01,1.988600000000000136e+02,3.090000000000000000e+02,1.495000000000000000e+03,-2.480000000000000000e+02,-6.557000000000000000e+03
1.777774998630989313e+09,-3.285151212363069950e-01,-1.080588529368093631e-01,5.735642275509874599e-01,-7.326468889025888886e-02,2.423972667050071361e-04,1.374279968429847343e-01,2.491399999999999864e+02,3.900000000000000000e+02,-9.730000000000000000e+02,-1.156000000000000000e+03,-1.090000000000000000e+02
1.777774998777672052e+09,-3.862386398927918352e-01,-1.472000744203939282e-01,6.950136297674700536e-01,-6.972532966590976045e-02,-1.555065366069553149e-03,1.214494022164825521e-01,2.948600000000000136e+02,4.590000000000000000e+02,-2.909000000000000000e+03,3.640000000000000000e+02,1.703000000000000000e+03
1.777774998925718546e+09,-4.439915347597521711e-01,-2.005393164695790931e-01,8.373585307067720196e-01,-7.851505293971715316e-02,-3.982219201540749751e-03,1.423449009393019660e-01,3.382900000000000205e+02,5.280000000000000000e+02,-1.410000000000000000e+02,-2.096000000000000000e+03,-1.129000000000000000e+03
1.777774999069627285e+09,-4.879279109726750718e-01,-2.571179908440442419e-01,9.467926325075535221e-01,-7.144323702624916228e-02,-5.235974780919456714e-03,1.094341018007814192e-01,3.840000000000000000e+02,5.980000000000000000e+02,2.539000000000000000e+03,-1.424000000000000000e+03,-2.821000000000000000e+03
1.777774999217242718e+09,-5.273615406795082450e-01,-3.250762033811888108e-01,1.077066431590592011e+00,-7.819182862673024204e-02,-7.705046340379470386e-03,1.302737990830384607e-01,4.365699999999999932e+02,6.800000000000000000e+02,-6.900000000000000000e+01,-2.800000000000000000e+02,-5.450000000000000000e+02
1.777774999365093470e+09,-5.585670372405815431e-01,-3.922625592898908997e-01,1.220847736540336070e+00,-7.395108915696761709e-02,-4.361862952014992217e-03,1.437813049497441154e-01,4.822900000000000205e+02,7.520000000000000000e+02,-1.117000000000000000e+03,8.000000000000000000e+01,-1.429000000000000000e+03
